任務領域,詞彙,漢語拼音,詞類
,記得,jìdé ,(VS)
,一些,yīxiē ,(Det)
,一點/一點兒,yīdiǎn/yīdiǎnr ,(Det)
房屋與家庭、環境,房子,fángzi ,(N)
,房間,fángjiān ,(N)
,廚房,chúfáng ,(N)
,客廳,kètīng ,(N)
,門,mén ,(N)
,窗/窗戶,chuānghù ,(N)
,樓,lóu ,(M)
,樓上,lóushàng ,(N)
,樓下,lóuxià ,(N)
,電梯,diàntī ,(N)
,家具,jiājù ,(N)
,椅子,yǐzi ,(N)
,桌(子),zhuō(zi) ,(N)
,沙發,shāfā ,(N)
,床,chuáng ,(N)
,開,kāi ,(VA)
,關,guān ,(VA)
,電視(機),diànshì(jī) ,(N)
,冷氣(機),lěngqì(jī) ,(N)
,洗澡,xǐzǎo ,(VA)
,安靜,ānjìng ,(VS)
,不錯,bùcuò ,(VS)
,河,hé ,(N)
,海,hǎi ,(N)
,海邊,hǎibiān ,(N)
,湖,hú ,(N)
,山,shān ,(N)
,樹,shù ,(N)
,花/花兒,huā/huār,(N)
,馬,mǎ ,(N)
,狗,gǒu ,(N)
,鳥,niǎo,(N)
,貓,māo ,(N)
,雞,jī ,(N)
,魚/魚兒,yú/yúr ,(N)
,太陽,tàiyáng ,(N)
,水,shuǐ ,(N)
,天氣,tiānqì ,(N)
,冷,lěng ,(VS)
,熱,rè ,(VS)
,下雨,xiàyǔ ,(VA)
,下雪,xiàxuě ,(VA)
,風,fēng ,(N)
日常生活,穿,chuān ,(VA)
,睡覺,shuìjiào ,(VA)
,起床,qǐchuáng ,(VA)
,咖啡,kāfēi ,(N)
,茶,chá ,(N)
,洗,xǐ ,(VA)
,方便,fāngbiàn ,(VS)
,生活,shēnghuó ,(N)
,用,yòng ,(VA)
,新年,xīnnián ,(N)
閒暇時間、娛樂,開始,kāishǐ ,(VS)
,運動,yùndòng ,(VA)
,運動 ,yùndòng ,(N)
,游泳,yóuyǒng ,(VA)
,踢,tī ,(VA)
,足球,zúqiú ,(N)
,打,dǎ ,(VA)
,籃球,lánqiú ,(N)
,網球,wǎngqiú ,(N)
,棒球,bàngqiú ,(N)
,比賽,bǐsài ,(VA)
,比賽 ,bǐsài ,(N)
,騎,qí ,(VA)
,腳踏車/自行車,jiǎotàchē/zìxíngchē ,(N)
,跑,pǎo ,(VA)
,跑步,pǎobù ,(VA)
,走,zǒu ,(VA)
,走路,zǒulù ,(VA)
,電影,diànyǐng ,(N)
,電影院,diànyǐngyuàn ,(N)
,票,piào ,(N)
,音樂,yīnyuè ,(N)
,表演,biǎoyǎn ,(N)
,看,kàn ,(VA)
,上網,shàngwǎng ,(VA)
,以前,yǐqián ,(N)
,以後,yǐhòu ,(N)
,等,děng ,(VA)
