禮,lĭ,(N)
禮品,lĭpĭn,(N)
力氣,lìqì ,(N)
立,lì ,(VA)
立場,lìchăng ,(N)
立即,lìjí ,(Adv)
利,lì ,(VS)
利潤,lìrùn ,(N)
利息,lìxí ,(N)
例外,lìwài ,(VS)
粒,lì ,(M)
聯合,liánhé ,(VA)
聯合國,liánhéguó ,(N)
連,lián ,(Adv)
連接,liánjiē ,(VS)
連忙,liánmáng ,(Adv)
連續,liánxù ,(VS)
臉色,liănsè ,(N)
量,liáng ,(VA)
糧食,liángshí ,(N)
倆,liăng ,(Det)
亮,liàng ,(VA)
諒解,liàngjiě ,(VS)
了,liăo ,(VS)
列,liè ,(M)
裂,liè ,(VS)
淋,lín ,(VA)
臨,lín ,(VS)
臨時,línshí ,(N)
凌晨,língchén ,(N)
靈活,línghuó ,(VS)
零件,língjiàn ,(N)
零售,língshòu ,(VA)
零下,língxià ,(VS)
領帶,lĭngdài,(N)
領導,lĭngdăo ,(N)
領土,lĭngtŭ ,(N)
領先,lĭngxiān ,(VS)
領袖,lĭngxiù ,(N)
另,lìng ,(Det)
另外,lìngwài ,(Conj)
另外,lìngwài ,(Det)
溜,liū ,(VA)
流動,liúdòng ,(VA)
流利,liúlì ,(VS)
留念,liúniàn ,(VS)
嘍,lóu ,(P)
摟,lǒu ,(VA)
露,lù ,(VA)
路燈,lùdēng  ,(N)
路線,lùxiàn  ,(N)
陸軍,lùjūn  ,(N)
陸續,lùxù  ,(Adv)
錄用,lùyòng  ,(VA)
輪船,lúnchuán ,(N)
輪流,lúnliú ,(Adv)
輪子,lúnzi ,(N)
論,lùn ,(VA)
論文,lùnwén ,(N)
落,luò ,(VA)
落後,luòhòu  ,(VS)
落實,luòshí  ,(VS)
落伍,luòwŭ  ,(VS)
旅行社,lǚxíngshè ,(N)
綠豆,lǜdòu ,(N)
略,lüè ,(VS)
麻,má ,(VS)
麻雀,máquè ,(N)
馬虎(ㄏㄨ˙),măhu,(VS)
埋,mái ,(VA)
買單,măidān ,(VA)
買賣, măimài ,(VA)
饅頭,mántou ,(N)
滿/蠻,măn/mán,(Adv)
漫畫,mànhuà ,(N)
忙碌,mánglù ,(VS)
盲目,mángmù ,(VS)
矛盾,máodùn ,(VS)
毛巾,máojīn ,(N)
冒,mào ,(VA)
煤,méi ,(N)
梅花,méihuā ,(N)
美觀,měiguān ,(VS)
美妙,měimiào ,(VS)
魅力,mèilì ,(N)
門, mén,(M)
門票,ménpiào ,(N)
門診,ménzhěn ,(VA)
猛, měng ,(VS)
夢到,mèngdào ,(VS)
夢想,mèngxiăng ,(N)
夢想, mèngxiăng ,(VA)
迷,mí ,(VS)
迷糊,míhú ,(VS)
迷失,míshī ,(VS)
迷信,míxìn ,(N)
迷信,míxìn ,(VS)
密,mì ,(VS)
蜜蜂,mìfēng ,(N)
秘/祕書,mìshū ,(N)
棉,mián ,(N)
棉被,miánbèi ,(N)
棉花,miánhuā ,(N)
免得,miănde ,(Conj)
勉強, miǎnqiǎng,(VS)
面,miàn,(M)
面對,miànduì ,(VA)
面臨,miànlín ,(VS)
面貌,miànmào ,(N)
面子,miànzi ,(N)
麵粉,miànfěn ,(N)
妙,miào ,(VS)
滅亡,mièwáng ,(VS)
民間,mínjiān ,(N)
民謠, mínyáo ,(N)
民眾, mínzhòng , (N)
民主,mínzhŭ ,(N)
民主,mínzhŭ ,(VS)
名,míng ,(M)
名,míng ,(VA)
名稱,míngchēng ,(N)
名單,míngdān ,(N)
名牌,míngpái ,(N)
名片,míngpiàn ,(N)
明白,míngbái ,(VS)
明亮,míngliàng ,(VS)
明明,míngmíng ,(Adv)
明確,míngquè ,(VS)
命,mìng ,(VA)
命令,mìnglìng ,(N)
命令,mìnglìng ,(VA)
命運,mìngyùn ,(N)
磨,mó ,(VA)
模仿,mófăng ,(VA)
模糊,móhú ,(VS)
模型,móxíng ,(N)
模樣,móyàng ,(N)
抹,mŏ,(VA)
目標,mùbiāo ,(N)
目的地,mùdìdì ,(N)
目錄,mùlù ,(N)
哪怕,năpà ,(VS)
奶粉,năifěn ,(N)
耐心,nàixīn ,(Adv)
耐用,nàiyòng ,(VS)
難道,nándào ,(Adv)
難得,nándé ,(VS)
難受,nánshòu ,(VS)
難以,nányǐ ,(Adv)
男性,nánxìng,(N)
腦袋,năodài ,(N)
腦筋,năojīn ,(N)
鬧,nào ,(VA)
鬧區,nàoqū ,(N)
內部,nèibù ,(N)
內地,nèidì,(N)
內行,nèiháng ,(VS)
內科,nèikē ,(N)
能幹,nénggàn ,(VS)
能源,néngyuán ,(N)
泥,ní ,(N)
泥土,nítŭ ,(N)
粘,nián ,(VA)
黏,nián ,(VA)
黏,nián ,(VS)
尿,niào ,(N)
尿,niào ,(VA)
捏,niē ,(VA)
寧可,níngkě ,(VS)
寧願,níngyuàn ,(VS)
鈕扣,niŭkòu ,(N)
農場,nóngchăng ,(N)
農產品,nóngchănpĭn  ,(N)
農村,nóngcūn  ,(N)
農民/農夫,nóngmín/nóngfū ,(N)
農藥,nóngyào  ,(N)
濃,nóng ,(VS)
濃厚,nónghòu  ,(VS)
暖,nuăn,(VS)
暖和,nuănhuo ,(VS)
暖氣,nuănqì  ,(N)
女性,nǚxìng ,(N)
哦,ó,(P)
偶然,ǒurán ,(VS)
怕,pà ,(Adv)
排,pái ,(M)
排,pái ,(VA)
排斥,páichì  ,(VA)
排列,páiliè ,(VA)
排球,páiqiú  ,(N)
派,pài ,(VA)
攀,pān ,(VA)
盤,pán,(M)
判斷,pànduàn ,(VA)
泡,pào ,(VA)
炮,pào ,(N)
砲,pào ,(N)
賠,péi ,(VA)
賠償,péicháng ,(VA)
陪同,péitóng  ,(VA)
佩服,pèifú ,(VS)
噴,pēn ,(VA)
盆,pén ,(M)
膨脹,péngzhàng ,(VS)
捧,pěng ,(VA)
碰見,pèngjiàn ,(VA)
匹,pī ,(M)
批,pī ,(M)
批,pī ,(VA)
批判,pīpàn ,(VA)
皮,pí ,(VS)
披,pī ,(VA)
疲倦,píjuàn ,(VS)
疲勞,píláo ,(VS)
脾氣,píqì ,(N)
屁股(ㄍㄨ˙),pìgu ,(N)
篇,piān ,(M)
偏/偏偏,piān/piānpiān,(Adv)
偏食,piānshí ,(VS)
偏向,piānxiàng ,(VS)
騙,piàn ,(VA)
片面,piànmiàn ,(VS)
片子,piànzi ,(N)
飄,piāo ,(VA)
拼命,pīnmìng ,(VS)
貧窮,pínqióng ,(VS)
品德,pĭndé ,(N)
聘請,pìnqĭng ,(VA)
憑,píng ,(Prep)
平常,píngcháng ,(VS)
平衡,pínghéng ,(VS)
平靜,píngjìng ,(VS)
平均,píngjūn ,(VS)
婆婆,pópó ,(N)
頗,pŏ,(Adv)
破爛,pòlàn ,(VS)
破裂,pòliè ,(VS)
迫切,pòqiè ,(VS)
撲,pū ,(VA)
撲滅,pūmiè ,(VA)
鋪,pū ,(VA)
普及,pŭjí ,(VS)
普通,pŭtōng ,(VS)
普通話,pŭtōnghuà ,(N)
瀑布,pùbù ,(N)
欺騙,qīpiàn ,(VA)
妻子,qīzĭ ,(N)
期,qí,(N)
期,qí,(M)
期限,qíxiàn ,(N)
其,qí ,(Det)
其餘,qíyú ,(Det)
棋,qí ,(N)
齊,qí ,(VS)
齊全,qíquán ,(VS)
旗袍,qípáo ,(N)
旗子,qízi ,(N)
歧視,qíshì ,(VS)
起,qĭ,(M)
起,qĭ,(VS)
起初,qĭchū ,(Adv)
起火,qĭhuŏ,(VS)
企圖,qìtú ,(N)
企圖,qìtú ,(VA)
汽油,qìyóu ,(N)
器材,qìcái ,(N)
器官,qìguān ,(N)
氣氛,qìfēn ,(N)
氣憤,qìfèn ,(VS)
氣候,qìhòu ,(N)
氣味,qìwèi ,(N)
氣息,qìxí ,(N)
氣象,qìxiàng ,(N)
千萬,qiānwàn ,(Adv)
牽,qiān ,(VA)
遷,qiān ,(VA)
簽,qiān ,(VA)
簽訂,qiāndìng ,(VA)
簽約,qiānyuē ,(VA)
簽字,qiānzì ,(VA)
前方,qiánfāng ,(N)
前進,qiánjìn ,(VA)
前頭,qiántou ,(N)
前途,qiántú ,(N)
前往,qiánwăng ,(VA)
前院,qiányuàn ,(N)
欠,qiàn ,(VA)
歉意,qiànyì ,(N)
槍,qiāng ,(N)
強,qiáng ,(VS)
強大,qiángdà ,(VS)
強度,qiángdù ,(N)
強烈,qiángliè ,(VS)
強迫,qiángpò ,(VA)
強人,qiángrén ,(N)
牆壁,qiángbì ,(N)
搶救,qiăngjiù ,(VA)
敲,qiāo ,(VA)
瞧,qiáo ,(VA)
巧,qiăo,(VS)
巧妙,qiăomiào ,(VS)
悄悄,qiăoqiăo,(Adv)
切,qiē ,(VA)
且,qiě ,(Conj)
親愛,qīnài ,(VS)
親口,qīnkŏu ,(Adv)
親戚,qīnqī  ,(N)
親人,qīnrén ,(N)
侵害,qīnhài ,(VA)
侵入,qīnrù ,(VA)
勤勞,qínláo ,(VS)
寢室,qǐnshì ,(N)
青,qīng ,(VS)
清,qīng ,(VA)
清晨,qīngchén ,(N)
清除,qīngchú ,(VA)
清楚,qīngchŭ ,(VS)
清淡,qīngdàn ,(VS)
清晰,qīngxī  ,(VS)
清醒,qīngxĭng  ,(VS)
輕傷,qīngshāng  ,(VS)
輕視,qīngshì ,(VS)
傾向,qīngxiàng ,(VS)
情書,qíngshū  ,(N)
情緒,qíngxù ,(N)
秋季,qiūjì ,(N)
求婚,qiúhūn ,(VA)
球隊,qiúduì ,(N)
球鞋,qiúxié ,(N)
曲折,qūzhé ,(VS)
區別,qūbié ,(N)
區別,qūbié ,(VA)
區域,qūyù ,(N)
取,qŭ ,(VA)
取得,qŭdé ,(VA)
取笑,qŭxiào ,(VA)
取消,qŭxiāo ,(VA)
娶,qŭ ,(VA)
去,qù ,(VA)
圈,quān ,(M)
全家,quánjiā ,(N)
全面,quánmiàn ,(Adv)
全面,quánmiàn ,(VS)
全體,quántĭ,(N)
拳頭,quántou,(N)
權利,quánlì ,(N)
勸,quàn ,(VA)
缺,quē ,(VS)
缺乏,quēfá ,(VS)
缺少,quēshăo ,(VS)
缺席,quēxí ,(VS)
確實,quèshí ,(VS)
群,qún ,(M)
群眾,qúnzhòng ,(N)
然而,ránér ,(Conj)
燃料,ránliào ,(N)
燃燒,ránshāo ,(VA)
染,răn ,(VA)
讓,ràng ,(VA)
讓步,ràngbù ,(VA)
繞,rào ,(VA)
惹,rě ,(VA)
惹,rě ,(VS)
熱愛,rèài ,(VS)
熱烈,rèliè ,(VS)
熱門,rèmén ,(VS)
熱情,rèqíng ,(N)
熱情,rèqíng ,(VS)
熱心,rèxīn ,(VS)
人才,réncái ,(N)
人格,réngé ,(N)
人工,réngōng ,(N)
人力,rénlì ,(N)
人情味/人情味兒,rénqíngwèi/rénqíngwèir,(N)
人權,rénquán ,(N)
人生,rénshēng ,(N)
人事,rénshì ,(N)
人體,réntǐ ,(N)
人心,rénxīn ,(N)
人行道,rénxíngdào ,(N)
人員,rényuán ,(N)
忍不住,rěnbúzhù ,(VS)
忍受,rěnshòu ,(VS)
忍心,rěnxīn ,(VS)
任,rèn ,(VA)
任,rèn ,(VS)
任性,rènxìng ,(VS)
日常,rìcháng ,(VS)
日後,rìhòu ,(N)
日用品,rìyòngpĭn ,(N)
容,róng ,(VS)
融化,rónghuà ,(VS)
榮幸,róngxìng ,(VS)
如,rú ,(Prep)
如,rú ,(VA)
如果說,rúguŏshuō,(Conj)
如何,rúhé ,(Adv)
如何,rúhé ,(VS)
如今,rújīn ,(N)
如同,rútóng ,(VA)
入,rù ,(VA)
入境,rùjìng,(VA)
入口,rùkŏu,(N)
入學,rùxué ,(VA)
軟,ruăn ,(VS)
塞,sāi,(VA)
賽跑,sàipăo ,(VA)
三角形,sānjiăoxíng ,(N)
散,sàn,(VA)
散,sàn,(VS)
喪失,sàngshī ,(VS)
艘,sāo ,(M)
掃,săo ,(VA)
色彩,sècăi ,(N)
色情,sèqíng ,(N)
沙,shā ,(N)
沙漠,shāmò  ,(N)
沙灘,shātān  ,(N)
沙子,shāzi  ,(N)
殺價,shājià ,(VA)
傻,shă ,(VS)
曬太陽,shàitàiyáng ,(VA)
山地,shāndì ,(N)
閃,shăn ,(VA)
善於,shànyú ,(VS)
扇子,shànzi ,(N)
傷,shāng ,(N)
傷,shāng ,(VS)
傷腦筋,shāngnăojīn ,(VS)
商標,shāngbiāo ,(N)
商場,shāngchăng ,(N)
商量,shāngliáng ,(VA)
上,shàng ,(VA)
上,shàng ,(VA)
上級,shàngjí ,(N)
上升,shàngshēng ,(VA)
上市,shàngshì ,(VS)
上述,shàngshù ,(N)
上台/臺,shàngtái ,(VA)
上頭,shàngtou ,(N)
上下,shàngxià ,(N)
上游,shàngyóu ,(N)
稍,shāo ,(Adv)
稍微,shāowéi ,(Adv)
少數,shăoshù ,(Det)
少年,shàonián ,(N)
少女,shàonǚ ,(N)
舌頭,shétou ,(N)
捨不得,shěbùdé ,(VS)
捨得,shědé ,(VS)
射,shè ,(VA)
社會,shèhuì ,(N)
社交,shèjiāo ,(N)
社團,shètuán ,(N)
設立,shèlì ,(VA)
設置,shèzhì ,(VA)
攝影,shèyĭng ,(VA)
申請,shēnqĭng ,(VA)
伸,shēn ,(VA)
伸手,shēnshŏu,(VA)
身材,shēncái ,(N)
身分/份,shēnfèn ,(N)
身分/份證,shēnfènzhèng ,(N)
深刻,shēnkè ,(VS)
深淺,shēnqiăn ,(N)
深夜,shēnyè ,(N)
神,shén ,(N)
神話,shénhuà ,(N)
神經,shénjīng ,(N)
神秘,shénmì ,(VS)
神奇,shénqí ,(VS)
神氣,shénqì ,(VS)
神聖,shénshèng ,(VS)
神仙,shénxiān ,(N)
審查,shěnchá ,(VA)
慎重,shènzhòng ,(VS)
升,shēng ,(VA)
升高,shēnggāo ,(VS)
升級,shēngjí ,(VS)
升學,shēngxué ,(VA)
生,shēng ,(VS)
生存,shēngcún ,(VS)
生肖,shēngxiào ,(N)
生長,shēngzhăng ,(VS)
聲,shēng,(M)
繩(子),shéng(zi),(N)
省,shěng ,(VS)
省得,shěngde ,(Conj)
勝,shèng ,(VS)
勝利,shènglì ,(VS)
失敗,shībài ,(VS)
失掉,shīdiào ,(VS)
失眠,shīmián ,(VS)
失望,shīwàng ,(VS)
失業,shīyè ,(VS)
溼,shī ,(VS)
詩,shī ,(N)
詩人,shīrén ,(N)
師父(ㄈㄨ˙),shīfu,(N)
師傅,shīfù ,(N)
師母,shīmŭ ,(N)
施工,shīgōng ,(VA)
時常,shícháng ,(Adv)
時機,shíjī ,(N)
時期,shíqí ,(N)
時時,shíshí ,(Adv)
食品,shípǐn ,(N)
實用,shíyòng ,(VS)
實在,shízài ,(Adv)
實施,shíshī ,(VA)
實現,shíxiàn ,(VA)
實驗,shíyàn ,(N)
實驗,shíyàn ,(VA)
使,shĭ,(VS)
始終,shĭzhōng ,(Adv)
示威,shìwēi ,(VA)
式樣,shìyàng ,(N)
世,shì ,(N)
世紀,shìjì ,(N)
市立,shìlì ,(VS)
市民,shìmín ,(N)
市區,shìqū ,(N)
視,shì ,(Prep)
視野,shìyě ,(N)
適當,shìdàng ,(VS)
適合,shìhé ,(VS)
適用,shìyòng ,(VS)
是非,shìfēi ,(N)
是否,shìfŏu ,(Adv)
事件,shìjiàn ,(N)
事實上,shìshíshàng ,(Adv)
事物,shìwù ,(N)
事先,shìxiān ,(Adv)
勢力,shìlì ,(N)
試驗,shìyàn ,(VA)
收據,shōujù ,(N)
收看,shōukàn ,(VA)
收入,shōurù ,(N)
收拾,shōushí ,(VA)
手電筒,shŏudiàntŏng  ,(N)
手段,shŏuduàn  ,(N)
手工,shŏugōng  ,(N)
手術,shŏushù  ,(N)
首,shŏu ,(Det)
首都,shŏudū  ,(N)
首先,shŏuxiān  ,(Adv)
受,shòu ,(Prep)
受,shòu ,(VS)
受不了,shòubùliăo  ,(VS)
受到,shòudào  ,(VS)
售,shòu ,(VA)
壽命,shòumìng  ,(N)
疏忽,shūhū ,(VS)
書房,shūfáng ,(N)
書籍,shūjí ,(N)
輸出,shūchū,(VA)
輸入,shūrù ,(VA)
熟,shú ,(VS)
熟練,shúliàn ,(VS)
熟人,shúrén ,(N)
屬,shŭ ,(VA)
屬於,shŭyú ,(VA)
暑期,shŭqí ,(N)
束,shù ,(M)
數,shù ,(Det)
數量,shùliàng ,(N)
數目,shùmù ,(N)
樹林,shùlín ,(N)
刷,shuā ,(VA)
刷(子),shuā(zi),(N)
刷卡,shuākă ,(VA)
耍,shuă ,(VA)
摔,shuāi ,(VA)
衰退,shuāituì ,(VS)
甩,shuăi ,(VA)
率領,shuàilĭng ,(VA)
雙,shuāng ,(M)
雙胞胎,shuāngbāotāi ,(N)
雙方,shuāngfāng ,(N)
水分/份,shuĭfèn ,(N)
水災,shuǐzāi ,(N)
稅,shuì ,(N)
說服,shuìfú ,(VA)
順,shùn ,(VS)
順,shùn ,(Prep)
順手,shùnshŏu ,(VS)
順序,shùnxù ,(N)
說不定,shuōbúdìng ,(Adv)
碩士,shuòshì ,(N)
絲,sī ,(N)
撕,sī ,(VA)
私立,sīlì ,(VS)
私人,sīrén ,(N)
思索,sīsuŏ ,(VA)
死,sĭ,(Adv)
死亡,sĭwáng ,(VS)
四處,sìchù ,(Adv)
四處,sìchù ,(N)
四方,sìfāng ,(N)
四季,sìjì ,(N)
四周/週,sìzhōu ,(N)
飼養,sìyăng ,(VA)
鬆,sōng ,(VS)
送行,sòngxíng ,(VA)
俗,sú ,(VS)
俗話,súhuà  ,(N)
俗話說,súhuàshuō ,(Conj)
算,suàn ,(VA)
算起來,suànqĭlái  ,(Adv)
算是,suànshì  ,(VA)
算帳,suànzhàng  ,(VA)
隨,suí ,(VS)
隨手,suíshŏu,(Adv)
隨意,suíyì  ,(VS)
隨著,suízhe ,(Prep)
碎,suì ,(VS)
歲數,suìshù  ,(N)
孫女,sūnnǚ ,(N)
孫子,sūnzi ,(N)
損失,sŭnshī ,(N)
損失,sŭnshī ,(VS)
縮,suō ,(VA)
縮短,suōduăn ,(VA)
縮水,suōshuĭ,(VS)
鎖,suŏ ,(N)
鎖,suŏ ,(VA)
塌,tā ,(VS)
踏,tà ,(VA)
抬頭,táitóu ,(VA)
太空,tàikōng ,(N)
攤子,tānzi ,(N)
彈,tán ,(VA)
談判,tánpàn ,(VA)
毯子,tănzi ,(N)
探,tàn ,(VA)
探親,tànqīn ,(VA)
探討,tàntăo ,(VA)
趟,tàng ,(M)
燙,tàng ,(VA)
燙,tàng ,(VS)
掏,tāo ,(VA)
逃,táo ,(VA)
逃避,táobì ,(VA)
逃走,táozŏu ,(VA)
陶瓷,táocí ,(N)
淘氣,táoqì ,(VS)
桃子,táozi ,(N)
討,tăo ,(VA)
套,tào,(M)
套,tào ,(VA)
特別,tèbié ,(Adv)
特點,tèdiăn ,(N)
提,tí ,(VA)
提起,tíqĭ,(VA)
提前,tíqián ,(VA)
提醒,tíxĭng ,(VA)
提早,tízăo ,(VS)
題,tí ,(M)
體溫,tĭwēn ,(N)
體驗,tǐyàn ,(VA)
天才,tiāncái ,(N)
天空,tiānkōng ,(N)
天然,tiānrán ,(VS)
天文,tiānwén ,(N)
天真,tiānzhēn ,(VS)
天主教,Tiānzhŭjiào,(N)
田野,tiányě ,(N)
挑,tiāo ,(VA)
挑選,tiāoxuăn ,(VA)
條,tiáo ,(M)
條約,tiáoyuē ,(N)
調,tiáo ,(VA)
調整,tiáozhěng ,(VA)
跳高,tiàogāo ,(VA)
跳遠,tiàoyuăn ,(VA)
貼心,tiēxīn ,(VS)
停止,tíngzhĭ ,(VA)
挺,tĭng ,(VA)
挺,tĭng ,(VS)
通,tōng,(M)
通,tōng ,(VS)
通常,tōngcháng  ,(Adv)
通過,tōngguò ,(VA)
通信,tōngxìn  ,(VA)
通訊,tōngxùn  ,(N)
同,tóng ,(Adv)
同,tóng ,(VS)
同胞,tóngbāo  ,(N)
同志,tóngzhì  ,(N)
銅,tóng ,(N)
桶,tǒng ,(M)
統計,tǒngjì  ,(VA)
統一,tǒngyī  ,(VS)
統治,tǒngzhì  ,(VA)
痛快,tòngkuài ,(VS)
偷/偷偷,tōu/tōutōu,(Adv)
頭,tóu,(M)
頭腦,tóunăo ,(N)
投票,tóupiào ,(VA)
投入,tóurù  ,(VA)
投降,tóuxiáng  ,(VA)
投資,tóuzī  ,(N)
透,tòu ,(VS)
透過,tòuguò ,(Prep)
禿,tū ,(VS)
突出,túchū ,(VS)
突破,túpò  ,(N)
突破,túpò  ,(VA)
途徑,tújìng ,(N)
圖書,túshū  ,(N)
圖章,túzhāng  ,(N)
吐,tŭ ,(VA)
團,tuán ,(M)
團結,tuánjié ,(VS)
推動,tuīdòng ,(VA)
推翻,tuīfān ,(VA)
推廣,tuīguăng ,(VA)
退,tuì ,(VA)
退出,tuìchū ,(VA)
退回,tuìhuí ,(VA)
吞,tūn ,(VA)
拖,tuō ,(VA)
拖鞋,tuōxié ,(N)
托兒所,tuōérsuŏ ,(N)
脫離,tuōlí ,(VA)
妥當(ㄉㄤ˙),tuǒdang,(VS)
妥善,tuŏshàn ,(VS)
妥協,tuŏxié ,(VA)
哇,wā ,(P)
挖,wā ,(VA)
歪,wāi ,(VS)
外部,wàibù ,(N)
外出,wàichū ,(VA)
外地,wàidì ,(N)
外觀,wàiguān ,(N)
外行,wàiháng ,(VS)
外匯,wàihuì ,(N)
外交,wàijiāo ,(N)
外界,wàijiè ,(N)
外科,wàikē ,(N)
外頭,wàitou ,(N)
彎,wān ,(VS)
彎腰,wānyāo ,(VA)
完畢,wánbì ,(VS)
完善,wánshàn ,(VS)
完整,wánzhěng ,(VS)
玩笑,wánxiào ,(N)
晚輩,wănbèi ,(N)
往,wăng ,(VA)
望,wàng ,(VA)
威脅,wēixié ,(N)
威脅,wēixié ,(VA)
圍,wéi ,(VA)
違反,wéifăn ,(VS)
維護,wéihù ,(VA)
維他命,wéitāmìng ,(N)
危機,wéijī ,(N)
為難,wéinán ,(VS)
唯一,wéiyī ,(VS)
尾巴,wěiba ,(N)
委屈,wěiqū ,(VS)
委託,wěituō ,(VA)
委員,wěiyuán ,(N)
未,wèi ,(Adv)
未婚,wèihūn ,(VS)
位於,wèiyú ,(VA)
味/味兒,wèi/wèir,(N)
味精,wèijīng ,(N)
為何,wèihé ,(Adv)
衛生,wèishēng ,(VS)
衛生紙,wèishēngzhĭ ,(N)
衛星,wèixīng ,(N)
慰問,wèiwèn ,(VA)
溫和,wēnhé ,(VS)
文法,wénfă ,(N)
文具,wénjù ,(N)
文憑,wénpíng ,(N)
文物,wénwù ,(N)
文藝,wényì ,(N)
蚊子,wénzi ,(N)
吻,wěn ,(N)
吻,wěn ,(VA)
穩,wěn ,(VS)
握,wò ,(VA)
臥房,wòfáng ,(N)
汙/污染,wūrăn,(VA)
無可奈何,wúkěnàihé ,(VS)
無論,wúlùn ,(Conj)
無情,wúqíng ,(VS)
無數,wúshù ,(Det)
無限,wúxiàn ,(VS)
無意,wúyì ,(VS)
武器,wŭqì ,(N)
武術,wŭshù ,(N)
舞,wŭ ,(N)
舞蹈,wŭdào ,(N)
舞台/臺,wŭtái ,(N)
舞廳,wŭtīng ,(N)
勿,wù ,(Adv)
物理,wùlǐ ,(N)
物質,wùzhí ,(N)
誤,wù ,(Adv)
誤,wù ,(VS)
誤點,wùdiăn ,(VS)
誤會,wùhuì ,(VS)
霧,wù ,(N)
西裝,xīzhuāng ,(N)
吸,xī ,(VA)
吸取,xīqŭ ,(VA)
吸食,xīshí ,(VA)
吸煙,xīyān ,(VA)
媳婦,xífù ,(N)
喜酒,xĭjiŭ ,(N)
喜劇,xǐjù ,(N)
系列,xìliè  ,(N)
細胞,xìbāo  ,(N)
細節,xìjié  ,(N)
細菌,xìjùn  ,(N)
細小,xìxiăo  ,(VS)
瞎,xiā ,(VS)
蝦(子),xiā(zi),(N)
蝦米,xiāmĭ ,(N)
下巴,xiàbā  ,(N)
下降,xiàjiàng  ,(VA)
下來,xiàlái  ,(N)
下棋,xiàqí  ,(VA)
下去,xiàqù  ,
下午茶,xiàwŭchá  ,(N)
下游,xiàyóu  ,(N)
夏季,xiàjì  ,(N)
先進,xiānjìn ,(VS)
鮮,xiān ,(VS)
鮮花,xiānhuā ,(N)
鮮奶,xiānnăi ,(N)
鮮血,xiānxiě ,(N)
閒,xián ,(VS)
嫌,xián ,(VS)
顯得,xiănde ,(VS)
顯然,xiănrán ,(Adv)
顯示,xiănshì ,(VS)
顯著,xiănzhù ,(VS)
現,xiàn ,(Adv)
現場,xiànchăng ,(N)
現成,xiànchéng ,(VS)
現金,xiànjīn ,(N)
羨慕,xiànmù ,(VS)
限制,xiànzhì ,(VA)
相,xiāng ,(Adv)
相處,xiāngchŭ ,(VA)
相當,xiāngdāng ,(VS)
相互,xiānghù ,(Adv)
相親相愛,xiāngqīnxiāngài ,(VS)
相似,xiāngsì ,(VS)
箱,xiāng ,(M)
香腸,xiāngcháng ,(N)
鄉村,xiāngcūn ,(N)
想不到,xiăngbúdào ,(Conj)
想念,xiăngniàn ,(VS)
享受,xiăngshòu ,(VS)
享有,xiăngyŏu ,(VS)
響應,xiăngyìng ,(VA)
象,xiàng ,(N)
相片/相片兒,xiàngpiàn/xiàngpiànr,(N)
相親,xiàngqīn ,(VA)
巷(子),xiàng(zi),(N)
向來,xiànglái ,(Adv)
項目,xiàngmù ,(N)
消,xiāo ,(VS)
消除,xiāochú ,(VA)
消費,xiāofèi ,(N)
消費,xiāofèi ,(VA)
消化,xiāohuà ,(VA)
消極,xiāojí ,(VS)
消滅,xiāomiè ,(VA)
消失,xiāoshī ,(VA)
消/宵夜,xiāoyè ,(N)
銷路,xiāolù ,(N)
銷售,xiāoshòu ,(VA)
小便,xiăobiàn ,(VA)
小費,xiăofèi ,(N)
小麥,xiăomài ,(N)
小氣,xiăoqì ,(VS)
小腿,xiăotuǐ ,(N)
小子,xiăozi ,(N)
曉得,xiăode ,(VS)
校車,xiàochē ,(N)
校友,xiàoyŏu ,(N)
效率,xiàolǜ ,(N)
笑容,xiàoróng ,(N)
歇,xiē ,(VA)
斜,xié ,(VS)
血管,xiěguăn ,(N)
血型,xiěxíng ,(N)
血液,xiěyè ,(N)
心靈,xīnlíng ,(N)
心目中,xīnmùzhōng ,(N)
心聲,xīnshēng ,(N)
心跳,xīntiào ,(VA)
心臟,xīnzàng ,(N)
新郎,xīnláng ,(N)
新娘,xīnniáng ,(N)
新式,xīnshì ,(VS)
新興,xīnxīng ,(VS)
薪水,xīnshuĭ ,(N)
信號,xìnhào ,(N)
信任,xìnrèn ,(VS)
信仰,xìnyăng ,(N)
信仰,xìnyăng ,(VS)
信用,xìnyòng ,(N)
星光,xīngguāng ,(N)
行程,xíngchéng ,(N)
行動,xíngdòng ,(VA)
行人,xíngrén ,(N)
形成,xíngchéng ,(VA)
形式,xíngshì ,(N)
形象,xíngxiàng ,(N)
形狀,xíngzhuàng ,(N)
性質,xìngzhí ,(N)
雄偉,xióngwěi ,(VS)
休假,xiūjià ,(VA)
休閒,xiūxián  ,(VA)
修正,xiūzhèng  ,(VA)
需,xū ,(VS)
須知,xūzhī  ,(N)
許,xŭ ,(VA)
許願,xŭyuàn  ,(VA)
宣布/佈,xuānbù,(VA)
宣傳,xuānchuán ,(N)
宣傳,xuānchuán ,(VA)
懸,xuán ,(VA)
選手,xuănshŏu ,(N)
靴(子),xuē(zi),(N)
學會,xuéhuì ,(N)
學歷,xuélì ,(N)
學術,xuéshù ,(N)
學位,xuéwèi ,(N)
學業,xuéyè ,(N)
學者,xuézhě ,(N)
雪花,xuěhuā ,(N)
削減,xuèjiăn ,(VA)
尋,xún ,(VA)
循環,xúnhuán ,(VA)
迅速,xùnsù ,(VS)
壓,yā ,(VA)
