詞彙,漢語拼音,詞類
搶,qiǎng ,(VA)
親,qīn,(VA)
親切,qīnqiè,(VS)
親手,qīnshŏu  ,(Adv)
親眼,qīnyăn ,(Adv)
親自,qīnzì ,(Adv)
清,qīng ,(VS)
青年,qīngnián ,(N)
青少年,qīngshàonián  ,(N)
輕鬆,qīngsōng  ,(VS)
晴,qíng ,(VS)
情,qíng ,(N)
情人,qíngrén  ,(N)
情況,qíngkuàng ,(N)
情形,qíngxíng ,(N)
請教,qĭngjiào ,(VA)
請求,qĭngqiú ,(VA)
窮,qióng ,(VS)
求,qiú ,(VA)
球,qiú,(N)
球場,qiúchăng ,(N)
球賽,qiúsài ,(N)
球員,qiúyuán ,(N)
取代,qŭdài ,(VA)
去,qù ,(Adv)
去,qù ,(P)
去世,qùshì ,(VS)
全,quán ,(Det)
全球,quánqiú ,(N)
全身,quánshēn ,(N)
缺點,quēdiăn ,(N)
卻,què ,(Adv)
確定,quèdìng ,(VS)
確認,quèrèn ,(VA)
讓,ràng,(VS)
熱狗,règŏu,(N)
熱水,rèshuǐ ,(N)
人家,rénjiā ,(N)
人間,rénjiān ,(N)
人口,rénkǒu ,(N)
人類,rénlèi ,(N)
人們,rénmen ,(N)
人民,rénmín ,(N)
人人,rénrén ,(N)
人數,rénshù ,(N)
人物,rénwù ,(N)
忍,rěn ,(VS)
忍耐,rěnnài ,(VS)
認,rèn ,(VA)
認得,rèndé ,(VS)
任務,rènwù ,(N)
扔,rēng ,(VA)
仍,réng ,(Adv)
仍然,réngrán ,(Adv)
日出,rìchū ,(VA)
日記,rìjì ,(N)
日子,rìzi,(N)
如,rú ,(Conj)
如此,rúcǐ ,(VS)
如下,rúxià ,(VS)
如意,rúyì ,(VS)
弱,ruò ,(VS)
傘,sǎn,(N)
殺,shā ,(VA)
曬,shài ,(VA)
山區,shānqū ,(N)
傷害,shānghài ,(VA)
商品,shāngpĭn ,(N)
商人,shāngrén ,(N)
商業,shāngyè ,(N)
上,shàng ,(Det)
上,shàng ,(N)
上當,shàngdàng ,(VS)
上帝,shàngdì ,(N)
上街,shàngjiē ,(VA)
上衣,shàngyī ,(N)
燒,shāo ,(VA)
少,shǎo ,(Adv)
