任務領域,詞彙,漢語拼音,詞類
,間,jiān ,(M)
日常生活,睡,shuì ,(VA)
,發生,fāshēng ,(VS)
,發現,fāxiàn ,(VA)
,發現 ,fāxiàn ,(N)
,照顧,zhàogù ,(VA)
,打掃,dǎsǎo ,(VA)
,餐,cān ,(N)
,起來,qǐlái ,(VA)
,搬,bān ,(VA)
,掛,guà ,(VA)
,有空/有空兒,yǒukòng/yǒukòngr,(VS)
,過年,guònián ,(VA)
閒暇時間、娛樂,結束,jiéshù ,(VS)
,完,wán ,(VS)
,散步,sànbù ,(VA)
,爬,pá ,(VA)
,跳,tiào ,(VA)
,座位,zuòwèi ,(N)
,博物館,bówùguăn ,(N)
,節目,jiémù ,(N)
,新聞,xīnwén ,(N)
,政治,zhèngzhì ,(N)
,體育,tǐyù ,(N)
,網站,wǎngzhàn ,(N)
,還,hái ,(Adv)
,經常,jīngcháng ,(Adv)
,平常,píngcháng ,(N)
,總是,zǒngshì ,(Adv)
,已經,yǐjīng ,(Adv)
,各,gè ,(Det)
,雜誌,zázhì ,(N)
,文章,wénzhāng ,(N)
,故事,gùshì ,(N)
,小說,xiǎoshuō ,(N)
,美術,měishù ,(N)
,藝術,yìshù ,(N)
,興趣,xìngqù ,(N)
,收,shōu ,(VA)
,談,tán ,(VA)
,聊天/聊天兒,liáotiān/liáotiānr,(VA)
,唱,chàng ,(VA)
,歌,gē,(N)
,早,zǎo ,(VS)
,遲到,chídào ,(VS)
,後來,hòulái ,(N)
,變,biàn ,(VA)
,跳舞,tiàowǔ ,(VA)
,樂器,yuèqì ,(N)
,吉他,jítā ,(N)
,鋼琴,gāngqín ,(N)
,可怕,kěpà ,(VS)
,活動,huódòng ,(N)
,就,jiù ,(Adv)
,消息,xiāoxí ,(N)
,才,cái ,(Adv)
,又,yòu ,(Adv)
與他人的關係,客人,kèrén ,(N)
,不好意思,bùhǎoyìsi ,
,怎麼了,zěnmele ,
,怎麼辦,zěnmebàn ,
,客氣,kèqì ,(VS)
,舞會,wŭhuì ,(N)
,最近,zuìjìn ,(Adv)
,請客,qǐngkè ,(VA)
,慶祝,qìngzhù ,(VA)
,聽說,tīngshuō ,(VA)
,感謝,gǎnxiè ,(VS)
,見面,jiànmiàn ,(VA)
,約,yuē ,(VA)
,事,shì ,(N)
,事情,shìqíng ,(N)
,明信片,míngxìnpiàn ,(N)
,卡片,kǎpiàn ,(N)
,幫,bāng ,(VA)
,弄,nòng ,(VA)
,檢查,jiǎnchá ,(VA)
,通知,tōngzhī ,(VA)
,通知 ,tōngzhī ,(N)
,叫 ,jiào ,(VA)
,麻煩,máfán ,(N)
,偷,tōu ,(VA)
,錢包,qiánbāo ,(N)
,拉,lā ,(VA)
,小偷,xiǎotōu ,(N)
,滿,mǎn ,(VS)
,丟,diū ,(VS)
,啊,ā ,(P)
旅行,汽車,qìchē ,(N)
,輛,liàng ,(M)
,船/船兒,chuán/chuánr,(N)
,停車場,tíngchēchăng ,(N)
,搭,dā ,(VA)
,起飛,qĭfēi ,(VA)
,出,chū ,(VA)
,出來,chūlái ,(VA)
,進,jìn ,(VA)
,進去,jìnqù ,(VA)
,回去,huíqù ,(VA)
,路口,lùkǒu ,(N)
,紅綠燈,hónglǜdēng ,(N)
,橋,qiáo ,(N)
,左,zuǒ,(N)
,右,yòu,(N)
,外,wài,(N)
,裡,lǐ ,(N)
,下 ,xià ,(VA)
,上 ,shàng ,(VA)
,這邊,zhèbiān ,(N)
,這些,zhèxiē ,(Det)
,那些,nàxiē ,(Det)
,那邊,nàbiān ,(N)
,旅遊,lǚyóu ,(VA)
,動物園,dòngwùyuán ,(N)
,出發,chūfā ,(VA)
,離開,líkāi ,(VA)
,向,xiàng ,(Prep)
,南,nán,(N)
,南部,nánbù ,(N)
,南邊,nánbiān,(N)
,西,xī,(N)
,西部,xībù ,(N)
,西邊,xībiān,(N)
,北,běi,(N)
,北部,běibù ,(N)
,北邊,běibiān,(N)
,東,dōng,(N)
,東部,dōngbù,(N)
,東邊,dōngbiān,(N)
